BJD,RV,e_RV,FWHM,BIS,System,TIC,GaiaDR2
2457849.64778375,22962.415919974697,1.591759162579,0.0022510873957508,0.0022510873957508,K2-229,98720809,3583630929786305280
2457848.80183181,22967.6658261868,1.7062465580448,0.0024129970231394,0.0024129970231394,K2-229,98720809,3583630929786305280
2457848.61285211,22972.6230628564,1.5048718310551,0.0021282101531114,0.0021282101531114,K2-229,98720809,3583630929786305280
2457847.82407417,22971.986613682097,1.821372043925,0.002575809046646,0.002575809046646,K2-229,98720809,3583630929786305280
2457847.74031325,22969.8093565314,1.6235784525313,0.0022960866671465,0.0022960866671465,K2-229,98720809,3583630929786305280
2457846.80297026,22978.9244396423,1.7075231978593,0.0024148024644793,0.0024148024644793,K2-229,98720809,3583630929786305280
2457846.62813336,22976.2272905032,1.5475193130394,0.0021885228005346,0.0021885228005346,K2-229,98720809,3583630929786305280
2457844.70187997,22981.5483469229,1.6011192201303002,0.0022643245160845,0.0022643245160845,K2-229,98720809,3583630929786305280
2457844.60389411,22982.3762905066,1.6817989094313999,0.0023784228269022,0.0023784228269022,K2-229,98720809,3583630929786305280
2457843.68040026,22992.6349845204,1.5263027356289,0.0021585180290135,0.0021585180290135,K2-229,98720809,3583630929786305280
2457843.59261097,22996.3026978063,2.0496625759481,0.0028986606131943,0.0028986606131943,K2-229,98720809,3583630929786305280
2457841.6806763,23004.825649746897,2.0584639254086,0.0029111076009686,0.0029111076009686,K2-229,98720809,3583630929786305280
2457841.61516687,23000.8184497862,1.752309972822,0.0024781405290466,0.0024781405290466,K2-229,98720809,3583630929786305280
2457840.68189972,22992.2541520126,1.6016401175058002,0.0022650611762175,0.0022650611762175,K2-229,98720809,3583630929786305280
2457840.59140164,22990.2787254276,1.921621786212,0.0027175835918127,0.0027175835918127,K2-229,98720809,3583630929786305280
2457839.68564458,22985.0872389431,1.7091923766464001,0.002417163039758,0.002417163039758,K2-229,98720809,3583630929786305280
2457839.61873445,22982.5029451947,1.5727865287373002,0.002224256039658,0.002224256039658,K2-229,98720809,3583630929786305280
2457838.69385536,22987.7586011483,1.3813092443080002,0.0019534662671318,0.0019534662671318,K2-229,98720809,3583630929786305280
2457838.62622752,22989.4444806704,1.5106232065461,0.002136343826333,0.002136343826333,K2-229,98720809,3583630929786305280
